"$f_i$","$P_{mV}(f_i)$","$Q_{mV}(f_i)$","$ω_i$","$P(f_i)$","$Q(f_i)$","$A(f_i)$","$M(f_i)$","$\\varphi(f_i)$","Label"
10,1272,-27.17,62.8318530717959,0.999764206555058,-0.021355026330268,0.999992252899107,-6.72907240299223E-05,-1.22365537802278,
13,1271,-29.76,81.6814089933346,0.99897822840525,-0.0233907097382693,0.999252033337812,-0.00649918677134437,-1.34131462820065,
17,1270,-39.77,106.814150222053,0.998192250255443,-0.0312583510178417,0.998681557343671,-0.0114594033511675,-1.79362893943875,
22,1268,-52.01,138.230076757951,0.996620293955828,-0.0408787235714847,0.997458310088916,-0.0221049419311293,-2.34880441376326,
28,1266,-66.7,175.929188601028,0.995048337656213,-0.0524247425921559,0.996428395775756,-0.0310780925419987,-3.01587549554739,
36,1263,-85.2,226.194671058465,0.992690403206791,-0.0669653383635935,0.994946527789816,-0.0440051852833703,-3.85923655170316,
46,1259,-109.8,289.026524130261,0.989546490607561,-0.0863004008488564,0.993302580415662,-0.0583687262076358,-4.98427253645348,
60,1252,-142.8,376.991118430775,0.984044643558909,-0.112237679792502,0.990424735798831,-0.0835704341934306,-6.50689473888331,
77,1241,-182.2,483.805268652828,0.975398883911027,-0.143205218894915,0.98585532277998,-0.123736287961098,-8.35232813910914,
100,1228,-236.5,628.318530717959,0.965181167963531,-0.185883832429458,0.982917843031709,-0.149655621162022,-10.9011010267497,
130,1198,-299.7,816.814089933346,0.941601823469308,-0.235557651497288,0.970619081380354,-0.259023503012273,-14.0452456917875,
170,1151,-377.3,1068.14150222053,0.904660850428358,-0.296549555922345,0.952025678968535,-0.427026744832994,-18.1492426593741,
220,1080,-459.8,1382.30076757951,0.84885640179203,-0.361392753281459,0.922584366325198,-0.69987818025253,-23.0614305991822,
280,987,-536.6,1759.29188601028,0.775760433859939,-0.42175587518667,0.882996188551816,-1.08082342096249,-28.5314961791277,
360,862,-603,2261.94671058465,0.677513165134009,-0.473944824333884,0.826829961626197,-1.65167588682715,-34.9741724366523,
460,716,-642,2890.26524130261,0.562760355262124,-0.504597972176374,0.75585602529798,-2.43121841202146,-41.8809289024432,"$L$"
600,544.9,-644,3769.91118430775,0.428279493830072,-0.506169928475988,0.663046997828004,-3.56911374038212,-49.7648381861669,"$R$"
770,394,-605.6,4838.05268652828,0.30967539102413,-0.475988367523383,0.567858938314369,-4.91519067733331,-56.9521954830514,
1000,266.8,-539.2,6283.18530717959,0.209698970368624,-0.423799418376169,0.47284205099551,-6.50567815086007,-63.6734668959195,
1300,167.5,-456,8168.14089933346,0.131651340092745,-0.358406036312191,0.381820589037876,-8.36281313411944,-69.8304762813454,
1700,97,-370.1,10681.4150222053,0.0762398805313212,-0.290890513243732,0.300715496904685,-10.4368838126639,-75.3136041078484,
2200,53.2,-296,13823.0076757951,0.0418140375697556,-0.232649532343001,0.23637728029001,-12.5278853712857,-79.8110263511023,
2800,26.84,-236.6,17592.9188601028,0.0210956535408316,-0.185962430244439,0.187155155047177,-14.5559641214364,-83.5280109749658,
3600,9.71,-185.7,22619.4671058465,0.0076318478346302,-0.145956142419241,0.146155535684683,-16.7036946192294,-87.0068076610389,
4600,-0.6,-145.1,28902.6524130261,-0.000471586889884461,-0.114045429537059,0.114046404557474,-18.8583680359733,-90.2369212389464,
6000,-6.85,-110.2,37699.1118430775,-0.00538395032618093,-0.0866147921087794,0.0867819631787727,-21.2314105899983,-93.5569126262382,
7700,-10.1,-84.4,48380.5268652828,-0.0079383793130551,-0.0663365558437476,0.0668098533700575,-23.5031896281335,-96.8240344301382,
10000,-11.92,-63.8,62831.8530717959,-0.00936885954570463,-0.0501454059577144,0.0510131087844205,-25.846364187373,-100.582779826877,
