"$f_i$","$P_{mV}(f_i)$","$Q_{mV}(f_i)$","$\\omega_i$","$P(f_i)$","$Q(f_i)$","$A(f_i)$","$M(f_i)$","$\\varphi(f_i)$","Label"
10,1267,-12.06,62.8318530717959,0.995834315806021,-0.00947889648667767,0.99587942744865,-0.0358647809935839,-0.545356143344905,
13,1267,-16.13,81.6814089933346,0.995834315806021,-0.0126778275563939,0.995915012362197,-0.0355544210229898,-0.729385161473378,
17,1267,-21.96,106.814150222053,0.995834315806021,-0.0172600801697713,0.99598388285369,-0.0349537866332631,-0.992967125633754,
22,1267,-28.71,138.230076757951,0.995834315806021,-0.0225654326809715,0.996089947388751,-0.034028856208557,-1.29809026960382,
28,1267,-37.33,175.929188601028,0.995834315806021,-0.0293405643323116,0.996266456954255,-0.0324898317582152,-1.68763446649556,
36,1268,-48.61,226.194671058465,0.996620293955828,-0.0382063978621394,0.99735236459448,-0.0230275667043558,-2.19541376197609,
46,1270,-62.86,289.026524130261,0.998192250255443,-0.0494065864968954,0.999414218059409,-0.0050895281103495,-2.83360304458179,
60,1274,-82.7,376.991118430775,1.00133616285467,-0.0650003929890749,1.00344365169612,0.0298597946757742,-3.71406771364244,
77,1279,-108,483.805268652828,1.00526605360371,-0.084885640179203,1.00884360058267,0.0764768694621969,-4.82666109153742,
100,1293,-146.4,628.318530717959,1.01626974770101,-0.115067201131809,1.02276324771112,0.195502271265944,-6.45980697821394,
130,1310,-198.2,816.814089933346,1.02963137624774,-0.155780869291834,1.04134934109123,0.351928931366685,-8.60346889560639,
170,1341,-297.1,1068.14150222053,1.05399669889177,-0.233514108307789,1.07955448220714,0.664891297922868,-12.4921585406348,
220,1388,-400,1382.30076757951,1.09093767193272,-0.314391259922974,1.13533557521904,1.10248492971142,-16.0761581984574,
280,1453,-604,1759.29188601028,1.1420262516702,-0.474730802483691,1.2367672757357,1.84575971008413,-22.5722491860398,
360,1498,-1041,2261.94671058465,1.17739526841154,-0.81820325394954,1.43377689437775,3.12963154715322,-34.7964634403927,
460,1124,-1862,2890.26524130261,0.883439440383557,-1.46349131494144,1.70946543508029,4.65720647813448,-58.8826358479771,"$L$"
600,-511.7,-1842,3769.91118430775,-0.402185019256465,-1.4477717519453,1.50259636477834,3.5368466763836,-105.525073560075,"$R$"
770,-775,-683,4838.05268652828,-0.609133066100763,-0.536823076318478,0.811924939563597,-1.80968236690334,-138.610584623402,
1000,-472.7,-219.6,6283.18530717959,-0.371531871413975,-0.172600801697713,0.409666899105924,-7.75138250841071,-155.082055983056,
1300,-267,-77,8168.14089933346,-0.209856165998585,-0.0605203175351725,0.218408606154116,-13.2146050545471,-163.912993464262,
1700,-150.9,-27.75,10681.4150222053,-0.118604102805942,-0.0218108936571563,0.120592903126702,-18.37356499211,-169.579920831688,
2200,-89.2,-10.35,13823.0076757951,-0.0701092509628232,-0.00813487385050696,0.0705796234272456,-23.0264132623676,-173.38148746583,
2800,-55.5,-3.85,17592.9188601028,-0.0436217873143127,-0.00302601587675863,0.043726617758312,-27.1850822782614,-176.031784921916,
3600,-32.3,-1.09,22619.4671058465,-0.0253870942387802,-0.000856716183290105,0.0254015455535173,-31.9027971597718,-178.067222634774,
4600,-22.5,-0.59,28902.6524130261,-0.0176845083706673,-0.000463727108386387,0.0176905873035141,-35.0451549772589,-178.49792155296,
6000,-14.95,-0.81,37699.1118430775,-0.0117503733396212,-0.000636642301344023,0.011767607532559,-38.586236488286,-176.898712450403,
7700,-11.02,-1.42,48380.5268652828,-0.00866147921087794,-0.00111608897272656,0.00873309090273956,-41.1766403849384,-172.657519133447,
10000,-8.11,-2.64,62831.8530717959,-0.0063742827949383,-0.00207498231549163,0.00670350898854096,-43.4739560790137,-161.968685512207,
